time,temperature,salinity,ssh,u_velocity,v_velocity,mld
1993-02-16,271.4061,34.33788,-0.5869357,-0.04864286,0.01965357,31.89184
1993-03-16,271.3584,34.35997,-0.6243258,-0.05234516,0.02242258,32.19703
1993-04-16,271.627,34.31825,-0.6229633,-0.04694333,0.02013,19.83703
1993-05-16,272.5648,34.21424,-0.5725452,-0.02238065,0.00863871,17.39555
1993-06-16,274.676,33.72704,-0.5507067,-0.07902,0.03840667,11.74963
1993-07-16,277.6342,33.73075,-0.5739548,-0.08501935,-0.05115484,11.13926
1993-08-16,279.1677,33.87837,-0.5876774,-0.05937742,-0.01734194,11.74963
1993-09-16,279.1573,33.91623,-0.5824033,-0.06144333,-0.009466667,17.39555
1993-10-16,277.6232,33.96766,-0.5140387,-0.06880323,0.06199677,33.57036
1993-11-16,276.1767,34.09274,-0.61451,-0.04762667,0.02314,50.05036
1993-12-16,274.6897,34.2105,-0.6055484,-0.05839677,0.02189677,68.20887
1994-01-16,273.4432,34.28837,-0.6383419,-0.07187742,0.04931613,48.06665
1994-02-16,271.9486,34.39411,-0.6390321,-0.07418214,0.01116429,96.43849
1994-03-16,272.71,34.39429,-0.6734903,-0.03797742,-0.04038065,107.2726
1994-04-16,273.658,34.40829,-0.63254,-0.04883,0.01526333,121.3111
1994-05-16,274.5523,34.20463,-0.6194,-0.03997742,0.02404516,20.29481
1994-06-16,276.448,34.08977,-0.63621,-0.01027667,0.01938333,17.85333
1994-07-16,278.7816,34.10364,-0.6224258,-0.07792581,0.01252258,11.13926
1994-08-16,279.9423,33.87615,-0.6148645,-0.0196129,-0.02320968,16.3274
1994-09-16,279.5487,33.89568,-0.5741067,-0.06078,0.02558667,32.8074
1994-10-16,277.6474,34.18535,-0.5799968,-0.03519677,0.04461613,54.47554
1994-11-16,277.7053,34.20512,-0.6317,-0.01678,0.03174667,72.48146
1994-12-16,276.9258,34.20961,-0.6041839,-0.02714839,0.02000645,110.1718
1995-01-16,275.4539,34.26971,-0.6153387,-0.01984839,0.05709355,326.2429
1995-02-16,275.1836,34.39314,-0.6520393,-0.04296429,-0.003342857,613.8798
1995-03-16,273.9419,34.40858,-0.6615097,-0.03837419,0.006416129,913.419
1995-04-16,271.9417,34.32908,-0.6373867,-0.02501,-0.02021333,156.2548
1995-05-16,274.6958,34.21566,-0.5815516,-0.04600968,0.04850645,12.05481
1995-06-16,276.3707,34.08726,-0.58746,-0.08877333,0.04737,14.19111
1995-07-16,278.84,33.96946,-0.5928968,-0.04199677,-0.002364516,11.90222
1995-08-16,279.221,33.86147,-0.5659484,-0.03564516,0.05580968,18.61629
1995-09-16,279.0857,33.89494,-0.58233,-0.05613,0.02528667,28.07703
1995-10-16,277.47,34.00087,-0.5599645,-0.08424839,-0.008483871,41.35258
1995-11-16,277.1,34.1306,-0.5695567,-0.05232,0.02149667,44.70962
1995-12-16,275.7881,34.20592,-0.5758355,-0.06209355,-0.01945484,69.42961
1996-01-16,273.7716,34.22545,-0.6122161,-0.03409677,0.06390323,104.8311
1996-02-16,274.6003,34.41601,-0.6435517,0.03605862,0.02887586,374.1569
1996-03-16,275.3142,34.43974,-0.6066774,-0.0238129,0.04389032,255.2873
1996-04-16,275.396,34.33733,-0.63715,-0.04224,0.06282667,42.11555
1996-05-16,275.9445,34.21044,-0.5721548,0.02849355,-0.02894839,27.77184
1996-06-16,277.456,34.14764,-0.63538,-0.03549,0.0158,18.31111
1996-07-16,279.6897,34.01284,-0.5611194,-0.1087323,-0.05653871,11.74963
1996-08-16,280.8435,33.88432,-0.5628742,-0.02138065,0.0457129,14.3437
1996-09-16,279.5527,33.8554,-0.5199467,-0.1059567,-0.004343333,26.5511
1996-10-16,277.9203,34.07821,-0.5242516,-0.007429032,0.04727097,44.86221
1996-11-16,276.448,34.49869,-0.5327233,-0.007586667,0.04496667,54.01776
1996-12-16,276.0055,34.22646,-0.564871,0.006351613,0.09262581,69.7348
1997-01-16,276.5739,34.32146,-0.5594065,-0.03129032,0.05608387,92.3185
1997-02-16,276.9561,34.40709,-0.6263071,-0.007703571,0.048975,348.674
1997-03-16,276.3881,34.42689,-0.5795935,-0.05909032,0.08884194,549.791
1997-04-16,276.0007,34.38025,-0.5750733,0.09677333,0.1088833,504.9288
1997-05-16,275.9497,34.03683,-0.5429645,-0.1154645,0.03668065,196.3866
1997-06-16,277.3353,33.95134,-0.57583,-0.05479,-0.07326,13.73333
1997-07-16,280.0132,33.96813,-0.5851452,-0.06503226,-0.04994516,12.2074
1997-08-16,281.3981,33.8761,-0.5649032,-0.05051613,-0.05067742,14.03852
1997-09-16,280.063,33.87208,-0.5230133,-0.07315333,0.02223,21.05777
1997-10-16,278.181,33.81393,-0.5218258,-0.01787097,0.0123871,31.43407
1997-11-16,277.5527,34.08828,-0.55491,-0.04072,0.04562,45.47258
1997-12-16,276.921,34.22611,-0.5813871,-0.05638387,0.06806774,88.65627
1998-01-16,276.7526,34.29528,-0.5732226,-0.04330645,0.05452581,92.3185
1998-02-16,277.1907,34.35292,-0.6167607,0.005228571,0.07658929,395.9777
1998-03-16,275.7368,34.41906,-0.5772968,-0.03065806,0.1478065,422.3762
1998-04-16,275.9553,34.34891,-0.6001667,-0.01756,0.08216333,99.18516
1998-05-16,275.9987,34.23212,-0.591671,-0.04673548,0.04114194,33.87555
1998-06-16,277.898,34.16962,-0.53426,-0.1150233,0.01133333,15.41185
1998-07-16,280.2342,34.10719,-0.5435806,-0.007745161,0.04637419,12.05481
1998-08-16,281.3997,33.88798,-0.5532194,-0.04498065,0.004032258,14.49629
1998-09-16,280.306,33.85689,-0.4995033,-0.0145,0.02477333,22.12592
