window_start,window_end,probability,prob_std,estimated_bifurcation_timestep,timing_uncertainty,delta
90,154,0.4242489695549011,0.033403459145223593,123,2.092544916047456,58.0
156,220,0.4633486866950989,0.02981082005764728,187,2.2277040608789362,
366,430,0.44084909558296204,0.045653493032059435,401,2.589459121770825,
450,514,0.41965255737304685,0.026128829745834713,480,2.2392424547527088,
516,580,0.4701352775096893,0.04076787561186151,549,2.345535573383158,
582,646,0.4351939380168915,0.037385358257359606,613,1.9728304218562716,
648,712,0.5243851959705352,0.050182190764661315,682,1.9031801318749997,
714,778,0.5735913693904877,0.057112290201542716,746,2.3513810480274127,
780,844,0.707739794254303,0.04387214129159959,817,2.896883439381712,
846,910,0.4718352496623993,0.04608264964781281,876,2.0192173572248553,
912,976,0.5245965600013733,0.051431118846595174,943,2.345617211248808,
